id,title,flag,duration,block,author_main,gender
Uz2w1qEv_d4,Danče instrumental (uz tortu),mandatory,3:23,torta,Predrag Živković Tozovac,mp3
iPQyFLLXdbo,Bez tebe remix (uz šampanjac kupola),mandatory,3:14,torta,Oliver Dragojević,mp3
iYsRr8zNZUM,Požuri,optional,3:25,folk,Halid Beslic,m
At_VVI7qOR4,Žal,mandatory,4:01,pijani_kraj,Saban Saulic,m
rcVca5Xno68,Okano,backlog,4:01,posle_torte,Zdravko Colic,m
E6VassbkL2A,Bezobrazno su zelene,backlog,3:13,posle_torte,Zeljko Samardzic,m
pxU4EeAgzlI,Kad bi bio ranjen,backlog,3:52,veselje,Ceca,f
YvCBfwJEtNA,Neodoljivo,backlog,4:46,veselje,Goca Božinovska,f
5LwxiyAGs44,Šta će mi život,backlog,3:23,pijani_kraj,Silvana,f
UDYAFm7uihQ,Slutim,backlog,3:08,posle_torte,Željko Samardžić,m
94zJhsFtC5E,Cini mi se grmi,backlog,4:14,posle_torte,Zdravko Colic,m
y7yfKSsK8WU,Plakala je,backlog,3:32,folk,Louis,m
tAx29UlgBZg,Dajte jednu lošu,backlog,3:51,posle_torte,Željko Samardžić,m
b-ryxv0Wkls,Bez tebe je gorko vino,backlog,3:56,folk,Duško Kuliš,m
gOJDzncNzKI,Ja bez tebe ne mogu da zivim,backlog,3:50,pijani_kraj,Nenad Milevski,m
a5s5rYpIfH0,Ti me varas najbolje,backlog,4:22,veselje,Saban Saulic,m
ZvWXq6bLAzI,Ovo je priča o nama,backlog,5:12,kafanska,Angel Dimov,m
Bp8Z8SVXUYA,Poruči pesmu sa imenom mojim,backlog,3:25,veselje,Sanja Đorđević,f
hzPkDu6P8xY,Danas majko zenis svoga sina,backlog,2:56,folk,Slavko Petrovic,m
tRMbcQZV9k8,Imena mi mog,backlog,2:56,folk,Snezna Djurisic,f
qDHNUiXh4sA,Polomicu case od kristala,backlog,3:20,folk,Miroslav Ilić,m
M5TgIzY0E3s,Sama,backlog,3:18,veselje,Dragana Mirkovic,f
CjLGVzn_yfA,Nešto mi govori,mandatory,3:40,turbofolk,Stoja,f
C8t5zxVhE18,Sam sam,mandatory,3:24,turbofolk,Djani,m
3wnb054c5l0,Sve mi tvoje nedostaje,optional,3:49,turbofolk,Djani,m
fPXJDOWMk9I,Ja stalno pijem,backlog,3:39,turbofolk,Djani,m
